Source,Target,Pass,Fail,Total,Dta/Gamma,Threshhold,Difference,Distance,Abs/Rel
RD.UnitTest.P1Ref.X-100A-10.0-1,RD.UnitTest.P5 Varied MU.X-101A-10.0-1,24277,15523,39800,DTA ,0,0.1,0,Abs
RD.UnitTest.P1Ref.X-100A-10.0-1,RD.UnitTest.P5 Varied MU.X-101A-10.0-1,39800,0,39800,DTA ,0,1,0,Abs
RD.UnitTest.P1Ref.X-100A-10.0-1,RD.UnitTest.P5 Varied MU.X-101A-10.0-1,29,15523,15552,DTA ,10,0.1,0,Abs
RD.UnitTest.P1Ref.X-100A-10.0-1,RD.UnitTest.P5 Varied MU.X-101A-10.0-1,31152,8648,39800,DTA ,0,0.1,1,Abs
RD.UnitTest.P1Ref.X-100A-10.0-1,RD.UnitTest.P5 Varied MU.X-101A-10.0-1,86,39714,39800,DTA ,0,0.01,0,Abs
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,35589,3417,39006,DTA ,0,1,0,Abs
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,36687,2319,39006,DTA ,0,1,0,Rel
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,10223,28783,39006,DTA ,0,0.1,0,Abs
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,1027,37979,39006,DTA ,0,0.01,0,Abs
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,30126,8880,39006,DTA ,0,0.01,1,Abs
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,31852,7154,39006,DTA ,0,0.01,1,Rel
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,2902,19230,22132,DTA ,10,0.1,0,Abs
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,3012,19640,22652,DTA ,10,0.1,0,Rel
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,2084,15933,18017,DTA ,20,0.1,0,Abs
RD.UnitTest.P1Ref.e-100A-10.0-1-13,RD.UnitTest.P1 2 mm.e-100A-10.0-02-3,849,10384,11236,DTA ,50,0.1,0,Abs
